,Date,Time,Current,RPM
0,2019-12-02,14:48:18.468972,[],[]
1,2019-12-02,14:48:19.315056,['1.29'],['278.76']
2,2019-12-02,14:48:19.490865,['-1.31'],['279.25']
3,2019-12-02,14:48:19.666684,['1.25'],['278.88']
4,2019-12-02,14:48:19.842393,['-1.17'],['280.33']
5,2019-12-02,14:48:20.018193,['1.04'],['279.63']
6,2019-12-02,14:48:20.194008,['-1.01'],['281.57']
7,2019-12-02,14:48:20.369789,['0.90'],['280.53']
8,2019-12-02,14:48:20.545634,['-0.03'],['281.88']
9,2019-12-02,14:48:20.721274,['-1.12'],['281.52']
10,2019-12-02,14:48:20.897102,['1.10'],['282.54']
11,2019-12-02,14:48:21.072953,['-0.91'],['282.03']
12,2019-12-02,14:48:21.248757,['0.96'],['282.83']
13,2019-12-02,14:48:21.424546,['-0.87'],['280.45']
14,2019-12-02,14:48:21.600337,['0.54'],['279.82']
15,2019-12-02,14:48:21.776583,['1.23'],['280.68']
16,2019-12-02,14:48:21.967658,['-1.15'],['279.59']
17,2019-12-02,14:48:22.127591,['1.06'],['280.35']
18,2019-12-02,14:48:22.319254,['-1.00'],['280.07']
19,2019-12-02,14:48:22.495210,['0.94'],['281.93']
20,2019-12-02,14:48:22.670786,['-0.67'],['280.58']
21,2019-12-02,14:48:22.846496,['-1.22'],['282.06']
22,2019-12-02,14:48:23.022394,['1.14'],['281.28']
23,2019-12-02,14:48:23.198307,['-1.07'],['281.98']
24,2019-12-02,14:48:23.374066,['0.96'],['282.51']
25,2019-12-02,14:48:23.549906,['-0.90'],['290.32']
26,2019-12-02,14:48:23.693971,['1.42'],['369.85']
27,2019-12-02,14:48:23.821321,['1.76'],['430.57']
28,2019-12-02,14:48:23.917301,['-2.10'],['491.92']
29,2019-12-02,14:48:24.013296,['1.85'],['532.72']
30,2019-12-02,14:48:24.109366,['-2.52'],['581.62']
31,2019-12-02,14:48:24.189258,['2.48'],['620.67']
32,2019-12-02,14:48:24.269139,['-0.66'],['659.70']
33,2019-12-02,14:48:24.333111,['-2.61'],['691.32']
34,2019-12-02,14:48:24.412965,['-1.74'],['726.13']
35,2019-12-02,14:48:24.476692,['2.72'],['758.34']
36,2019-12-02,14:48:24.540747,['2.57'],['789.47']
37,2019-12-02,14:48:24.604496,['-2.23'],['819.90']
38,2019-12-02,14:48:24.652615,['-2.79'],['847.10']
39,2019-12-02,14:48:24.716322,['2.67'],['875.27']
40,2019-12-02,14:48:24.763886,['-2.87'],['899.15']
41,2019-12-02,14:48:24.827725,['-2.27'],['919.96']
42,2019-12-02,14:48:24.875991,['2.11'],['918.41']
43,2019-12-02,14:48:24.939246,['1.56'],['916.45']
44,2019-12-02,14:48:24.987396,['-1.83'],['912.83']
45,2019-12-02,14:48:25.035203,['-1.62'],['910.33']
46,2019-12-02,14:48:25.098875,['2.03'],['909.64']
47,2019-12-02,14:48:25.146773,['1.67'],['909.92']
48,2019-12-02,14:48:25.210920,['-2.04'],['907.99']
49,2019-12-02,14:48:25.258659,['-1.60'],['909.92']
50,2019-12-02,14:48:25.306497,['1.95'],['905.93']
51,2019-12-02,14:48:25.370263,['1.62'],['907.72']
52,2019-12-02,14:48:25.418633,['-1.92'],['907.99']
53,2019-12-02,14:48:25.482021,['-1.66'],['909.50']
54,2019-12-02,14:48:25.529819,['1.98'],['907.58']
55,2019-12-02,14:48:25.577687,['1.57'],['909.92']
56,2019-12-02,14:48:25.641730,['-1.97'],['908.95']
57,2019-12-02,14:48:25.689629,['-1.60'],['911.16']
58,2019-12-02,14:48:25.753186,['1.98'],['906.62']
59,2019-12-02,14:48:25.801119,['1.64'],['907.30']
60,2019-12-02,14:48:25.849003,['-1.82'],['906.48']
61,2019-12-02,14:48:25.912749,['-1.59'],['906.34']
62,2019-12-02,14:48:25.960651,['1.87'],['909.37']
63,2019-12-02,14:48:26.024378,['1.42'],['909.92']
64,2019-12-02,14:48:26.072403,['-1.77'],['909.23']
65,2019-12-02,14:48:26.120286,['-0.96'],['911.44']
66,2019-12-02,14:48:26.184489,['1.72'],['906.21']
67,2019-12-02,14:48:26.232492,['0.49'],['909.09']
68,2019-12-02,14:48:26.296043,['-1.65'],['909.50']
69,2019-12-02,14:48:26.344047,['0.15'],['907.72']
70,2019-12-02,14:48:26.391693,['1.70'],['905.39']
71,2019-12-02,14:48:26.455615,['-0.76'],['908.68']
72,2019-12-02,14:48:26.503803,['-1.66'],['907.99']
73,2019-12-02,14:48:26.567383,['1.37'],['907.44']
74,2019-12-02,14:48:26.615435,['1.69'],['911.44']
75,2019-12-02,14:48:26.663311,['-1.71'],['908.82']
76,2019-12-02,14:48:26.726874,['-1.65'],['906.76']
77,2019-12-02,14:48:26.775135,['1.95'],['907.58']
78,2019-12-02,14:48:26.838573,['1.70'],['906.21']
79,2019-12-02,14:48:26.886860,['-1.97'],['904.30']
80,2019-12-02,14:48:26.934723,['-1.65'],['910.19']
81,2019-12-02,14:48:26.998479,['1.87'],['909.50']
82,2019-12-02,14:48:27.046374,['1.76'],['909.37']
83,2019-12-02,14:48:27.110229,['-1.91'],['909.37']
84,2019-12-02,14:48:27.157971,['-1.62'],['906.62']
85,2019-12-02,14:48:27.206328,['1.84'],['908.82']
86,2019-12-02,14:48:27.269786,['1.54'],['908.68']
87,2019-12-02,14:48:27.318102,['-1.86'],['907.72']
88,2019-12-02,14:48:27.381886,['-1.63'],['910.89']
89,2019-12-02,14:48:27.429726,['1.85'],['907.17']
